plot,lon,lat,cec,clay,orgCarb,sand,silt,orgMat,tot,lab,org,occ,sec,apa
CONGO_1,16.106,2.04498,5.55,38.88,9.63,51.28,9.55,16.5636,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_10,16.23408,2.08507,3.78,40.43,5.75,47.58,11.65,9.89,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_11,16.29487,2.1116,6.35,35.08,6.25,52.85,11.9,10.75,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_12,16.3239,2.11212,7.35,35.75,9.38,53.45,10.6,16.1336,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_13,16.33013,2.08129,4.5,34.75,4.13,53.83,11.78,7.1036,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_14,16.34928,2.06745,5.03,37,8.9,52.68,10.33,15.308,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_15,16.36614,2.09083,4.63,36.55,9.18,52.8,10.75,15.7896,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_16,16.38596,2.08586,6.15,35.28,5.5,52.83,11.9,9.46,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_17,16.3149,2.20618,5.23,37.18,4.95,52.45,10.93,8.514,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_18,16.34324,2.21771,4.63,34.68,4.08,53.13,11.78,7.0176,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_19,16.35922,2.18937,5.1,33.43,6.55,54.78,11.8,11.266,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_2,16.12972,2.03031,6.33,40.3,6.98,49.15,10.48,12.0056,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_20,16.39634,2.18951,5.55,37.95,4.53,50.73,11.45,7.7916,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_21,16.37973,2.25906,4.53,33.88,8.05,55.35,10.78,13.846,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_22,16.38734,2.29668,4.38,34.2,7.6,55.38,10.33,13.072,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_23,16.32017,2.34735,4.3,38.58,3.83,50.53,10.48,6.5876,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_24,16.3492,2.34383,3.33,37.45,6.08,52.35,10.2,10.4576,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_25,16.37527,2.37969,5.35,35.25,3.58,52.75,11.8,6.1576,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_26,16.39538,2.37389,3.48,38.13,8.68,52.1,10.33,14.9296,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_27,16.42745,2.40044,5.18,38.65,6.2,49.8,11.33,10.664,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_28,16.4257,2.37223,4.65,37.58,7.7,51,11.65,13.244,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_29,16.46369,2.40245,6.53,38.65,8.5,50.58,10.68,14.62,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_3,16.098917,1.996472,5.3,42.23,8.63,46.78,10.78,14.8436,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_30,16.47351,2.37152,4.68,39.68,10.9,50.35,10.33,18.748,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_4,16.158472,1.990667,4.9,38.53,6.05,50.28,11.75,10.406,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_5,16.20204,2.00209,6.25,41.53,8.75,47.43,11.1,15.05,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_6,16.235806,1.989389,6.33,36.93,3.88,53,10.08,6.6736,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_7,16.15408,2.07798,4.68,40.05,6.8,49.9,9.63,11.696,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_8,16.17762,2.12507,3.68,36.1,6.03,53.33,10.58,10.3716,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
CONGO_9,16.22086,2.11746,5.45,40.5,4.38,47.85,12.43,7.5336,69,4.281369686,14.01089001,40.89954758,9.183700562,0.624486506
KANU_CORE,140.8551,39.1112,21.83,16.35,55.55,43.7,40.13,95.546,321.8891602,34.7212944,49.01543808,69.44468689,16.98644829,151.721283
KANU_OARA,140.8564,39.1077,23.43,13.45,60.9,45.85,40.3,104.748,321.8891602,34.7212944,49.01543808,69.44468689,16.98644829,151.721283
Tokyo.Koto_3893.39425,139.777438,35.62052366,25.53,25.58,33.1,42.4,32.13,56.932,NA,NA,NA,NA,NA,NA
Wakay.Hashimoto_5514.37948,135.5579846,34.29355946,15.93,26.35,18,33.15,40.15,30.96,321.8891602,34.7212944,49.01543808,69.44468689,16.98644829,151.721283
Burge.Mattersburg_5980.52842,16.30586624,47.70376205,18.5,20.9,23.33,45.6,33.58,40.1276,297.1404114,15.60473537,55.66345978,130.8786774,13.03873348,81.95481873
Bayer.Bayreuth_7008.55438,11.8029671,50.0127043,12.98,12.7,44.3,54.63,32.68,76.196,363.8893433,26.37573242,90.25203705,137.3723907,41.38565063,68.50349426
Bayer.Bayreuth_7017.55430,11.81484565,50.00501683,13.05,15.83,33.75,45.88,37.98,58.05,363.8893433,26.37573242,90.25203705,137.3723907,41.38565063,68.50349426
Bayer.Bayreuth_7019.55430,11.81808853,50.00474208,11.9,14.9,34.18,50.03,34.98,58.7896,363.8893433,26.37573242,90.25203705,137.3723907,41.38565063,68.50349426
Bayer.Bayreuth2_6727.55307,11.40528154,49.90400884,14.7,21.45,13.1,39.93,38.13,22.532,272.3787231,14.30434036,51.02483368,119.9721069,11.95217133,75.12525177
Bayer.Bayreuth2_6737.55316,11.41887032,49.91159093,17.5,20.45,17.65,36.48,43,30.358,272.3787231,14.30434036,51.02483368,119.9721069,11.95217133,75.12525177
Bayer.Bayreuth2_6780.55300,11.47820394,49.89605795,18.35,23.48,23.6,32.6,43.5,40.592,272.3787231,14.30434036,51.02483368,119.9721069,11.95217133,75.12525177
Bayer.Bayreuth2_6811.55209,11.51801037,49.81311214,11.7,19.25,12.2,42.48,38.15,20.984,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6843.55329,11.56810949,49.91964638,14.13,16.1,18.53,48.63,35.7,31.8716,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6844.55329,11.5683037,49.92003769,14.13,16.1,18.53,48.63,35.7,31.8716,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6844.55330,11.56876453,49.9204694,14.13,16.1,18.53,48.63,35.7,31.8716,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6846.55332,11.57170365,49.92243722,14.18,15.78,21.05,49.65,34.58,36.206,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6847.55328,11.57286161,49.91917259,14.33,16.9,19.78,45.85,37.6,34.0216,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6847.55331,11.57307004,49.9221465,13.95,15.23,21.88,50.08,34.93,37.6336,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6847.55332,11.57308046,49.92280497,13.95,15.23,21.88,50.08,34.93,37.6336,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6847.55333,11.5734102,49.92305207,13.95,15.23,21.88,50.08,34.93,37.6336,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6848.55330,11.57423414,49.92098199,15.2,17,19.68,47.98,34.7,33.8496,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6848.55332,11.57401512,49.92269245,13.95,15.23,21.88,50.08,34.93,37.6336,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6848.55334,11.5752588,49.9241323,13.15,17,11.6,47.2,35.73,19.952,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6849.55344,11.5769529,49.933323,16.5,17.25,12.08,45.5,37.25,20.7776,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6849.55352,11.57701811,49.94028732,17.33,19.25,12.38,46.38,34.18,21.2936,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6849.55353,11.57674301,49.94112588,19.13,20.25,15.25,44.88,35.38,26.23,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6850.55343,11.57834874,49.93227837,15.7,16.05,11.8,49.05,35.05,20.296,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6851.55350,11.58006828,49.93852666,17.2,19.48,13,45.63,34.9,22.36,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6851.55351,11.5800791,49.93949653,17.2,19.48,13,45.63,34.9,22.36,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6852.55349,11.58078921,49.93812324,17.2,19.48,13,45.63,34.9,22.36,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6852.55350,11.58087613,49.93846991,17.2,19.48,13,45.63,34.9,22.36,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6852.55351,11.58095098,49.93956161,17.45,19.48,12.38,44.9,35.63,21.2936,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6852.55352,11.58064186,49.9406451,17.45,19.48,12.38,44.9,35.63,21.2936,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
Bayer.Bayreuth2_6853.55351,11.58260515,49.9398015,17.93,18.05,17.28,46,35.95,29.7216,230.3172302,16.2685051,100.1555939,64.98375702,27.3412075,21.56816292
